City,Same_as_2016,Elsewhere_in_aus,Overseas,Not_stated,NA,Total,lat,lng,state,capital
Sydney,2206821,1289317,393327,269584,287761,4446805,-33.865,151.2094,New South Wales,admin
Melbourne,2162056,1266024,362073,257154,275761,4323072,-37.8136,144.9631,Victoria,admin
Brisbane,992886,783817,139355,133258,143395,2192715,-27.4678,153.0281,Queensland,admin
Perth,886361,616921,156042,124007,124511,1907836,-31.9522,115.8589,Western Australia,admin
Adelaide,686301,375597,69530,70711,75292,1277432,-34.9289,138.6011,South Australia,admin
Gold Coast - Tweed Heads,257659,245687,35785,48545,36584,624263,-28.0167,153.4,Queensland,
Canberra,199353,148471,30745,24606,29198,432371,-35.2931,149.1269,Australian Capital Territory,primary
Newcastle - Maitland,241867,156386,10344,25103,29354,463052,-32.9167,151.75,New South Wales,
Wollongong,157518,85046,9753,16284,17081,285680,-34.4331,150.8831,New South Wales,
Geelong,123526,84590,7478,16358,15510,247458,-38.15,144.35,Victoria,
Hobart,107268,64494,7178,13156,11914,204009,-42.8806,147.325,Tasmania,admin
Townsville,71722,71064,5275,13822,11932,173813,-19.2564,146.8183,Queensland,
Cairns,59753,54590,7138,13867,9441,144785,-16.9303,145.7703,Queensland,
Toowoomba,58090,50622,4348,9178,8475,130718,-27.5667,151.95,Queensland,
Darwin,41553,47552,10478,14784,9205,123577,-12.4381,130.8411,Northern Territory,admin
Ballarat,47376,37230,2063,6700,6524,99881,-37.55,143.85,Victoria,
Bendigo,45589,33893,1695,7039,6169,94384,-36.75,144.2667,Victoria,
Launceston,43215,27204,2767,6044,4914,84150,-41.4419,147.145,Tasmania,
Mackay,35085,29658,2278,6188,5472,78683,-21.1411,149.1861,Queensland,
Rockhampton,35434,28078,1763,6393,5327,76990,-23.375,150.5117,Queensland,
Bunbury,33470,25466,2991,5508,4969,72396,-33.3333,115.6333,Western Australia,
Coffs Harbour,32862,24627,2045,5148,3809,68492,-30.3022,153.1189,New South Wales,
Bundaberg,33281,25392,1705,4903,3783,69063,-24.85,152.35,Queensland,
Wagga Wagga,25040,20596,1780,3318,3678,54413,-35.1189,147.3689,New South Wales,
Hervey Bay,22924,21447,954,4237,2509,52075,-25.2853,152.8728,Queensland,
Shepparton - Mooroopna,25201,14696,2056,4339,3373,49669,-36.3833,145.4,Victoria,
Albury - Wodonga,41617,33198,1717,6446,6036,89013,-36.0806,146.9158,New South Wales,
Port Macquarie,20666,18414,828,3181,2289,45376,-31.4333,152.9,New South Wales,
Tamworth,18772,14772,1092,3484,2882,41006,-31.0833,150.9167,New South Wales,
Orange,17772,14528,849,2691,2903,38737,-33.2833,149.1,New South Wales,
Dubbo,16666,13100,829,2787,2708,36090,-32.2569,148.6011,New South Wales,
Geraldton,17503,12706,1150,3575,2495,37429,-28.7744,114.6089,Western Australia,
Nowra - Bomaderry,17012,12403,574,3527,2275,35797,-34.8833,150.6,New South Wales,
Bathurst,15718,13308,586,3128,2275,35013,-33.42,149.5778,New South Wales,
Warrnambool,17241,11371,764,2662,1983,34019,-38.3833,142.4833,Victoria,
Albany,16220,11814,783,2518,1809,33144,-35.0228,117.8814,Western Australia,
Gladstone - Tannum Sands,17837,17486,2023,3087,3435,43870,-23.8489,151.2625,Queensland,
Mildura - Wentworth,25283,16030,1219,4538,3172,50240,-34.1889,142.1583,Victoria,
Alice Springs,9387,8578,2036,2943,1812,24751,-23.7,133.8667,Northern Territory,
Kalgoorlie - Boulder,11705,10652,1934,3023,2563,29875,-30.7489,121.4658,Western Australia,
Mount Gambier,15305,9351,491,1752,1783,28685,-37.8294,140.7828,South Australia,
Lismore,14136,9919,399,2395,1559,28410,-28.8167,153.2833,New South Wales,
Maryborough,13730,8956,179,2610,1454,26930,-25.5375,152.7019,Queensland,
Ballina,11920,9330,530,1894,1172,24850,-28.8333,153.5333,New South Wales,
Taree,13513,8562,203,2116,1458,25854,-31.9,152.45,New South Wales,
