Imm_value,Year_range,Total_imm,State_Total,State_Native,Cont_origin,State
0,1900-1945,71192,228723,157531,Americas,Northern Territory
5,1946-1955,71192,228723,157531,Americas,Northern Territory
35,1956-1965,71192,228723,157531,Americas,Northern Territory
174,1966-1975,71192,228723,157531,Americas,Northern Territory
144,1976-1985,71192,228723,157531,Americas,Northern Territory
159,1986-1995,71192,228723,157531,Americas,Northern Territory
267,1996-2005,71192,228723,157531,Americas,Northern Territory
1056,2006-2015,71192,228723,157531,Americas,Northern Territory
10,1900-1945,98312,509807,411495,North-East Asia,Tasmania
31,1946-1955,98312,509807,411495,North-East Asia,Tasmania
79,1956-1965,98312,509807,411495,North-East Asia,Tasmania
76,1966-1975,98312,509807,411495,North-East Asia,Tasmania
131,1976-1985,98312,509807,411495,North-East Asia,Tasmania
328,1986-1995,98312,509807,411495,North-East Asia,Tasmania
615,1996-2005,98312,509807,411495,North-East Asia,Tasmania
2866,2006-2015,98312,509807,411495,North-East Asia,Tasmania
178,1900-1945,2576600,7475802,4899202,South-East Asia,New South Wales
626,1946-1955,2576600,7475802,4899202,South-East Asia,New South Wales
2091,1956-1965,2576600,7475802,4899202,South-East Asia,New South Wales
8665,1966-1975,2576600,7475802,4899202,South-East Asia,New South Wales
54592,1976-1985,2576600,7475802,4899202,South-East Asia,New South Wales
72131,1986-1995,2576600,7475802,4899202,South-East Asia,New South Wales
52550,1996-2005,2576600,7475802,4899202,South-East Asia,New South Wales
92811,2006-2015,2576600,7475802,4899202,South-East Asia,New South Wales
19,1900-1945,483284,1675834,1192550,Southern and Central Asia,South Australia
214,1946-1955,483284,1675834,1192550,Southern and Central Asia,South Australia
270,1956-1965,483284,1675834,1192550,Southern and Central Asia,South Australia
901,1966-1975,483284,1675834,1192550,Southern and Central Asia,South Australia
595,1976-1985,483284,1675834,1192550,Southern and Central Asia,South Australia
1234,1986-1995,483284,1675834,1192550,Southern and Central Asia,South Australia
4602,1996-2005,483284,1675834,1192550,Southern and Central Asia,South Australia
36272,2006-2015,483284,1675834,1192550,Southern and Central Asia,South Australia
151,1900-1945,2076071,5921586,3845515,North Africa and the Middle East,Victoria
1481,1946-1955,2076071,5921586,3845515,North Africa and the Middle East,Victoria
3639,1956-1965,2076071,5921586,3845515,North Africa and the Middle East,Victoria
11854,1966-1975,2076071,5921586,3845515,North Africa and the Middle East,Victoria
9065,1976-1985,2076071,5921586,3845515,North Africa and the Middle East,Victoria
14806,1986-1995,2076071,5921586,3845515,North Africa and the Middle East,Victoria
21862,1996-2005,2076071,5921586,3845515,North Africa and the Middle East,Victoria
42401,2006-2015,2076071,5921586,3845515,North Africa and the Middle East,Victoria
