latitude,longitude,Origin,Year_range,Val,Continent
-25.274398,133.775136,Australia,1900-1945,0,Oceania
-25.274398,133.775136,Australia,1946-1955,0,Oceania
-25.274398,133.775136,Australia,1956-1965,0,Oceania
-25.274398,133.775136,Australia,1966-1975,0,Oceania
-25.274398,133.775136,Australia,1976-1985,0,Oceania
-25.274398,133.775136,Australia,1986-1995,0,Oceania
-25.274398,133.775136,Australia,1996-2005,0,Oceania
-25.274398,133.775136,Australia,2006-2015,0,Oceania
-29.040835,167.954712,Norfolk Island,1900-1945,0,Oceania
-29.040835,167.954712,Norfolk Island,1946-1955,0,Oceania
-29.040835,167.954712,Norfolk Island,1956-1965,0,Oceania
-29.040835,167.954712,Norfolk Island,1966-1975,0,Oceania
-29.040835,167.954712,Norfolk Island,1976-1985,0,Oceania
-29.040835,167.954712,Norfolk Island,1986-1995,0,Oceania
-29.040835,167.954712,Norfolk Island,1996-2005,0,Oceania
-29.040835,167.954712,Norfolk Island,2006-2015,0,Oceania
-40.900557,174.885971,New Zealand,1900-1945,1065,Oceania
-40.900557,174.885971,New Zealand,1946-1955,2223,Oceania
-40.900557,174.885971,New Zealand,1956-1965,8187,Oceania
-40.900557,174.885971,New Zealand,1966-1975,32712,Oceania
-40.900557,174.885971,New Zealand,1976-1985,75875,Oceania
-40.900557,174.885971,New Zealand,1986-1995,84919,Oceania
-40.900557,174.885971,New Zealand,1996-2005,114064,Oceania
-40.900557,174.885971,New Zealand,2006-2015,172096,Oceania
-20.904305,165.618042,New Caledonia,1900-1945,12,Oceania
-20.904305,165.618042,New Caledonia,1946-1955,46,Oceania
-20.904305,165.618042,New Caledonia,1956-1965,82,Oceania
-20.904305,165.618042,New Caledonia,1966-1975,135,Oceania
-20.904305,165.618042,New Caledonia,1976-1985,197,Oceania
-20.904305,165.618042,New Caledonia,1986-1995,202,Oceania
-20.904305,165.618042,New Caledonia,1996-2005,184,Oceania
-20.904305,165.618042,New Caledonia,2006-2015,339,Oceania
-6.314993,143.95555,Papua New Guinea,1900-1945,421,Oceania
-6.314993,143.95555,Papua New Guinea,1946-1955,392,Oceania
-6.314993,143.95555,Papua New Guinea,1956-1965,2005,Oceania
-6.314993,143.95555,Papua New Guinea,1966-1975,7507,Oceania
-6.314993,143.95555,Papua New Guinea,1976-1985,5411,Oceania
-6.314993,143.95555,Papua New Guinea,1986-1995,2909,Oceania
-6.314993,143.95555,Papua New Guinea,1996-2005,2665,Oceania
-6.314993,143.95555,Papua New Guinea,2006-2015,5518,Oceania
-9.64571,160.156194,Solomon Islands,1900-1945,27,Oceania
-9.64571,160.156194,Solomon Islands,1946-1955,21,Oceania
-9.64571,160.156194,Solomon Islands,1956-1965,76,Oceania
-9.64571,160.156194,Solomon Islands,1966-1975,205,Oceania
-9.64571,160.156194,Solomon Islands,1976-1985,237,Oceania
-9.64571,160.156194,Solomon Islands,1986-1995,251,Oceania
-9.64571,160.156194,Solomon Islands,1996-2005,437,Oceania
-9.64571,160.156194,Solomon Islands,2006-2015,583,Oceania
-15.376706,166.959158,Vanuatu,1900-1945,18,Oceania
-15.376706,166.959158,Vanuatu,1946-1955,35,Oceania
-15.376706,166.959158,Vanuatu,1956-1965,77,Oceania
-15.376706,166.959158,Vanuatu,1966-1975,119,Oceania
-15.376706,166.959158,Vanuatu,1976-1985,192,Oceania
-15.376706,166.959158,Vanuatu,1986-1995,169,Oceania
-15.376706,166.959158,Vanuatu,1996-2005,184,Oceania
-15.376706,166.959158,Vanuatu,2006-2015,263,Oceania
13.444304,144.793731,Guam,1900-1945,0,Oceania
13.444304,144.793731,Guam,1946-1955,0,Oceania
13.444304,144.793731,Guam,1956-1965,0,Oceania
13.444304,144.793731,Guam,1966-1975,7,Oceania
13.444304,144.793731,Guam,1976-1985,11,Oceania
13.444304,144.793731,Guam,1986-1995,12,Oceania
13.444304,144.793731,Guam,1996-2005,27,Oceania
13.444304,144.793731,Guam,2006-2015,33,Oceania
-3.370417,-168.734039,Kiribati,1900-1945,5,Oceania
-3.370417,-168.734039,Kiribati,1946-1955,4,Oceania
-3.370417,-168.734039,Kiribati,1956-1965,48,Oceania
-3.370417,-168.734039,Kiribati,1966-1975,39,Oceania
-3.370417,-168.734039,Kiribati,1976-1985,70,Oceania
-3.370417,-168.734039,Kiribati,1986-1995,56,Oceania
-3.370417,-168.734039,Kiribati,1996-2005,79,Oceania
-3.370417,-168.734039,Kiribati,2006-2015,164,Oceania
7.131474,171.184478,Marshall Islands,1900-1945,0,Oceania
7.131474,171.184478,Marshall Islands,1946-1955,0,Oceania
7.131474,171.184478,Marshall Islands,1956-1965,0,Oceania
7.131474,171.184478,Marshall Islands,1966-1975,0,Oceania
7.131474,171.184478,Marshall Islands,1976-1985,0,Oceania
7.131474,171.184478,Marshall Islands,1986-1995,6,Oceania
7.131474,171.184478,Marshall Islands,1996-2005,9,Oceania
7.131474,171.184478,Marshall Islands,2006-2015,6,Oceania
-0.522778,166.931503,Nauru,1900-1945,9,Oceania
-0.522778,166.931503,Nauru,1946-1955,11,Oceania
-0.522778,166.931503,Nauru,1956-1965,46,Oceania
-0.522778,166.931503,Nauru,1966-1975,90,Oceania
-0.522778,166.931503,Nauru,1976-1985,76,Oceania
-0.522778,166.931503,Nauru,1986-1995,64,Oceania
-0.522778,166.931503,Nauru,1996-2005,118,Oceania
-0.522778,166.931503,Nauru,2006-2015,113,Oceania
17.33083,145.38469,Northern Mariana Islands,1900-1945,0,Oceania
17.33083,145.38469,Northern Mariana Islands,1946-1955,0,Oceania
17.33083,145.38469,Northern Mariana Islands,1956-1965,0,Oceania
17.33083,145.38469,Northern Mariana Islands,1966-1975,0,Oceania
17.33083,145.38469,Northern Mariana Islands,1976-1985,0,Oceania
17.33083,145.38469,Northern Mariana Islands,1986-1995,4,Oceania
17.33083,145.38469,Northern Mariana Islands,1996-2005,15,Oceania
