Measure,Age,ASGS_2011,Region,Year,Value
Fertility rate,All ages,0,Australia,1975,2.148
Fertility rate,All ages,0,Australia,1976,2.06
Fertility rate,All ages,0,Australia,1977,2.007
Fertility rate,All ages,0,Australia,1978,1.949
Fertility rate,All ages,0,Australia,1979,1.907
Fertility rate,All ages,0,Australia,1980,1.891
Fertility rate,All ages,0,Australia,1981,1.935
Fertility rate,All ages,0,Australia,1982,1.929
Fertility rate,All ages,0,Australia,1983,1.924
Fertility rate,All ages,0,Australia,1984,1.84
Fertility rate,All ages,0,Australia,1985,1.923
Fertility rate,All ages,0,Australia,1986,1.868
Fertility rate,All ages,0,Australia,1987,1.845
Fertility rate,All ages,0,Australia,1988,1.831
Fertility rate,All ages,0,Australia,1989,1.838
Fertility rate,All ages,0,Australia,1990,1.902
Fertility rate,All ages,0,Australia,1991,1.849
Fertility rate,All ages,0,Australia,1992,1.89
Fertility rate,All ages,0,Australia,1993,1.863
Fertility rate,All ages,0,Australia,1994,1.847
Fertility rate,All ages,0,Australia,1995,1.829
Fertility rate,All ages,0,Australia,1996,1.805
Fertility rate,All ages,0,Australia,1997,1.788
Fertility rate,All ages,0,Australia,1998,1.773
Fertility rate,All ages,0,Australia,1999,1.767
Fertility rate,All ages,0,Australia,2000,1.769
Fertility rate,All ages,0,Australia,2001,1.743
Fertility rate,All ages,0,Australia,2002,1.771
Fertility rate,All ages,0,Australia,2003,1.765
Fertility rate,All ages,0,Australia,2004,1.782
Fertility rate,All ages,0,Australia,2005,1.846
Fertility rate,All ages,0,Australia,2006,1.875
Fertility rate,All ages,0,Australia,2007,1.994
Fertility rate,All ages,0,Australia,2008,2.023
Fertility rate,All ages,0,Australia,2009,1.97
Fertility rate,All ages,0,Australia,2010,1.954
Fertility rate,All ages,0,Australia,2011,1.917
Fertility rate,All ages,0,Australia,2012,1.929
Fertility rate,All ages,0,Australia,2013,1.881
Fertility rate,All ages,0,Australia,2014,1.795
Fertility rate,All ages,0,Australia,2015,1.796
Fertility rate,All ages,0,Australia,2016,1.792
Fertility rate,All ages,0,Australia,2017,1.741
Fertility rate,All ages,0,Australia,2018,1.74
Fertility rate,All ages,0,Australia,2019,1.657
Fertility rate,All ages,1,New South Wales,1975,2.125
Fertility rate,All ages,1,New South Wales,1976,2.037
Fertility rate,All ages,1,New South Wales,1977,1.995
Fertility rate,All ages,1,New South Wales,1978,1.953
Fertility rate,All ages,1,New South Wales,1979,1.902
Fertility rate,All ages,1,New South Wales,1980,1.925
Fertility rate,All ages,1,New South Wales,1981,1.942
Fertility rate,All ages,1,New South Wales,1982,1.958
Fertility rate,All ages,1,New South Wales,1983,1.929
Fertility rate,All ages,1,New South Wales,1984,1.794
Fertility rate,All ages,1,New South Wales,1985,2.002
Fertility rate,All ages,1,New South Wales,1986,1.911
Fertility rate,All ages,1,New South Wales,1987,1.915
Fertility rate,All ages,1,New South Wales,1988,1.851
Fertility rate,All ages,1,New South Wales,1989,1.859
Fertility rate,All ages,1,New South Wales,1990,1.95
Fertility rate,All ages,1,New South Wales,1991,1.867
Fertility rate,All ages,1,New South Wales,1992,1.971
Fertility rate,All ages,1,New South Wales,1993,1.908
Fertility rate,All ages,1,New South Wales,1994,1.879
Fertility rate,All ages,1,New South Wales,1995,1.871
Fertility rate,All ages,1,New South Wales,1996,1.834
Fertility rate,All ages,1,New South Wales,1997,1.843
Fertility rate,All ages,1,New South Wales,1998,1.811
Fertility rate,All ages,1,New South Wales,1999,1.835
Fertility rate,All ages,1,New South Wales,2000,1.828
