Year_Range,Migration_val,Total,Total_Imm,State_Native,Total_Pop,state,Country_Origin
2006-2015,1792,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1900-1945,93,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1946-1955,2222,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1956-1965,4384,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1966-1975,7400,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1976-1985,2445,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1986-1995,1510,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1996-2005,1470,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
2006-2015,192,522,61071,448728,509799,Tasmania,South America
1900-1945,0,522,61071,448728,509799,Tasmania,South America
1946-1955,0,522,61071,448728,509799,Tasmania,South America
1956-1965,17,522,61071,448728,509799,Tasmania,South America
1966-1975,97,522,61071,448728,509799,Tasmania,South America
1976-1985,42,522,61071,448728,509799,Tasmania,South America
1986-1995,85,522,61071,448728,509799,Tasmania,South America
1996-2005,59,522,61071,448728,509799,Tasmania,South America
2006-2015,20145,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1900-1945,52,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1946-1955,203,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1956-1965,1337,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1966-1975,5012,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1976-1985,8037,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1986-1995,10081,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1996-2005,18099,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
2006-2015,1515,5138,6148891,17238226,23387117,Total,Caribbean
1900-1945,7,5138,6148891,17238226,23387117,Total,Caribbean
1946-1955,59,5138,6148891,17238226,23387117,Total,Caribbean
1956-1965,187,5138,6148891,17238226,23387117,Total,Caribbean
1966-1975,1207,5138,6148891,17238226,23387117,Total,Caribbean
1976-1985,619,5138,6148891,17238226,23387117,Total,Caribbean
1986-1995,544,5138,6148891,17238226,23387117,Total,Caribbean
1996-2005,756,5138,6148891,17238226,23387117,Total,Caribbean
2006-2015,38410,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1900-1945,14,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1946-1955,81,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1956-1965,177,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1966-1975,1603,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1976-1985,35103,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1986-1995,32295,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1996-2005,19546,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
2006-2015,747,2460,61071,448728,509799,Tasmania,Northern America
1900-1945,6,2460,61071,448728,509799,Tasmania,Northern America
1946-1955,23,2460,61071,448728,509799,Tasmania,Northern America
