Age_Bracket,State,Male,Female,Total
0-4,New South Wales,238859,226273,465135
0-4,Victoria,190592,180625,371219
0-4,Queensland,152032,144429,296464
0-4,South Australia,49909,47161,97068
0-4,Western Australia,83156,78572,161732
0-4,Tasmania,14539,13929,28475
0-4,Northern Territory,9000,8623,17628
0-4,Australian Capital Territory,13898,12897,26796
0-4,Other Territories,143,123,263
5-9,New South Wales,245210,232976,478185
5-9,Victoria,189075,179558,368635
5-9,Queensland,162809,154329,317138
5-9,South Australia,51432,49036,100467
5-9,Western Australia,84278,79873,164154
5-9,Tasmania,16190,15326,31517
5-9,Northern Territory,8689,8131,16819
5-9,Australian Capital Territory,13228,12225,25449
5-9,Other Territories,154,130,286
10-14,New South Wales,227882,215129,443012
10-14,Victoria,174907,166156,341065
10-14,Queensland,153680,145413,299095
10-14,South Australia,49074,46382,95462
10-14,Western Australia,77299,73504,150806
10-14,Tasmania,15492,14729,30221
10-14,Northern Territory,7776,7252,15028
10-14,Australian Capital Territory,11391,10843,22233
10-14,Other Territories,127,136,261
15-19,New South Wales,230107,218317,448424
15-19,Victoria,181849,174492,356338
15-19,Queensland,151192,145089,296285
15-19,South Australia,51515,49169,100684
15-19,Western Australia,77112,72881,149998
15-19,Tasmania,15958,15118,31079
15-19,Northern Territory,7474,6598,14072
15-19,Australian Capital Territory,12364,12144,24506
15-19,Other Territories,104,103,214
20-24,New South Wales,248485,241183,489669
20-24,Victoria,209730,204064,413790
20-24,Queensland,159283,157576,316859
20-24,South Australia,55218,52766,107987
20-24,Western Australia,82560,77773,160335
20-24,Tasmania,15292,14569,29864
20-24,Northern Territory,8850,7796,16644
20-24,Australian Capital Territory,15860,15563,31430
20-24,Other Territories,136,71,211
25-29,New South Wales,260579,266577,527158
25-29,Victoria,217556,223709,441268
25-29,Queensland,158127,162626,320749
25-29,South Australia,53509,53851,107362
25-29,Western Australia,92971,91940,184908
25-29,Tasmania,14091,14609,28699
25-29,Northern Territory,11133,10573,21707
25-29,Australian Capital Territory,15947,16538,32485
25-29,Other Territories,162,100,263
30-34,New South Wales,265983,274379,540363
30-34,Victoria,219608,228324,447923
30-34,Queensland,159731,166218,325943
30-34,South Australia,54763,55983,110747
30-34,Western Australia,97985,96282,194267
30-34,Tasmania,14241,15085,29328
30-34,Northern Territory,10860,10471,21333
30-34,Australian Capital Territory,16484,17143,33630
30-34,Other Territories,167,142,310
35-39,New South Wales,247359,252362,499722
35-39,Victoria,199917,204109,404028
35-39,Queensland,149442,155777,305218
35-39,South Australia,51118,51697,102814
35-39,Western Australia,87305,85737,173040
35-39,Tasmania,13522,14810,28335
35-39,Northern Territory,9268,8747,18014
35-39,Australian Capital Territory,15014,15174,30188
35-39,Other Territories,182,140,317
40-44,New South Wales,246904,256266,503162
40-44,Victoria,196062,205829,401892
40-44,Queensland,157707,165198,322899
40-44,South Australia,53069,53580,106650
40-44,Western Australia,86213,85784,172001
40-44,Tasmania,15078,16422,31499
40-44,Northern Territory,8580,8035,16615
40-44,Australian Capital Territory,13926,14286,28213
40-44,Other Territories,171,154,321
45-49,New South Wales,239600,252844,492443
45-49,Victoria,194776,207269,402045
45-49,Queensland,157523,165459,322979
45-49,South Australia,56186,57435,113618
45-49,Western Australia,86578,85942,172519
45-49,Tasmania,16645,17863,34514
45-49,Northern Territory,8537,7914,16455
45-49,Australian Capital Territory,13162,13392,26554
45-49,Other Territories,170,165,333
50-54,New South Wales,238856,246687,485543
50-54,Victoria,184599,193771,378372
50-54,Queensland,151016,157712,308725
50-54,South Australia,55930,57337,113269
50-54,Western Australia,81546,80892,162437
50-54,Tasmania,17250,18290,35539
50-54,Northern Territory,7697,7157,14854
50-54,Australian Capital Territory,11845,12589,24433
50-54,Other Territories,207,173,380
55-59,New South Wales,228773,240948,469721
55-59,Victoria,173172,184442,357614
55-59,Queensland,142723,149475,292200
55-59,South Australia,54668,57230,111898
55-59,Western Australia,74122,75778,149898
55-59,Tasmania,18078,19310,37383
55-59,Northern Territory,6600,6291,12891
55-59,Australian Capital Territory,10793,11561,22359
55-59,Other Territories,195,185,378
60-64,New South Wales,204286,215758,420046
60-64,Victoria,154399,165440,319839
60-64,Queensland,127555,133130,260687
60-64,South Australia,49505,52524,102027
60-64,Western Australia,64835,67306,132144
60-64,Tasmania,16997,17783,34775
60-64,Northern Territory,5503,4900,10409
60-64,Australian Capital Territory,9112,10040,19147
60-64,Other Territories,172,163,331
65-69,New South Wales,188363,196103,384471
65-69,Victoria,140086,151313,291395
65-69,Queensland,119671,122528,242191
65-69,South Australia,46646,49638,96289
65-69,Western Australia,57902,58854,116755
65-69,Tasmania,16180,16769,32946
65-69,Northern Territory,4002,3361,7366
